office,district,party,candidate,precinct,votes
U.S. Senate,,R,Jason Conger,0009 09,116
U.S. Senate,,R,Jason Conger,0010 10,100
U.S. Senate,,R,Jason Conger,0011 11,288
U.S. Senate,,R,Jason Conger,0012 12,37
U.S. Senate,,R,Jason Conger,0013 13,10
U.S. Senate,,R,Jason Conger,0014 14,26
U.S. Senate,,R,Jason Conger,0015 15,118
U.S. Senate,,R,Jason Conger,0016 16,113
U.S. Senate,,R,Jason Conger,0017 17,62
U.S. Senate,,R,Jason Conger,0018 18,123
U.S. Senate,,R,Jason Conger,0019 19,60
U.S. Senate,,R,Jason Conger,0020 20,61
U.S. Senate,,R,Jason Conger,0021 21,12
U.S. Senate,,R,Jason Conger,0022 22,29
U.S. Senate,,R,Jason Conger,0023 23,22
U.S. Senate,,R,Write-ins,0001 01,0
U.S. Senate,,R,Write-ins,0002 02,0
U.S. Senate,,R,Write-ins,0003 03,3
U.S. Senate,,R,Write-ins,0004 04,1
U.S. Senate,,R,Write-ins,0005 05,1
U.S. Senate,,R,Write-ins,0006 06,0
U.S. Senate,,R,Write-ins,0007 07,0
U.S. Senate,,R,Write-ins,0008 08,2
U.S. Senate,,R,Write-ins,0009 09,0
U.S. Senate,,R,Write-ins,0010 10,4
U.S. Senate,,R,Write-ins,0011 11,0
U.S. Senate,,R,Write-ins,0012 12,0
U.S. Senate,,R,Write-ins,0013 13,0
U.S. Senate,,R,Write-ins,0014 14,0
U.S. Senate,,R,Write-ins,0015 15,3
U.S. Senate,,R,Write-ins,0016 16,0
U.S. Senate,,R,Write-ins,0017 17,0
U.S. Senate,,R,Write-ins,0018 18,0
U.S. Senate,,R,Write-ins,0019 19,3
U.S. Senate,,R,Write-ins,0020 20,1
U.S. Senate,,R,Write-ins,0021 21,0
U.S. Senate,,R,Write-ins,0022 22,0
U.S. Senate,,R,Write-ins,0023 23,0
U.S. Senate,,R,Over Votes,0001 01,0
U.S. Senate,,R,Over Votes,0002 02,0
U.S. Senate,,R,Over Votes,0003 03,0
U.S. Senate,,R,Over Votes,0004 04,0
U.S. Senate,,R,Over Votes,0005 05,0
U.S. Senate,,R,Over Votes,0006 06,0
U.S. Senate,,R,Over Votes,0007 07,0
U.S. Senate,,R,Over Votes,0008 08,0
U.S. Senate,,R,Over Votes,0009 09,1
U.S. Senate,,R,Over Votes,0010 10,0
U.S. Senate,,R,Over Votes,0011 11,0
U.S. Senate,,R,Over Votes,0012 12,0
U.S. Senate,,R,Over Votes,0013 13,0
U.S. Senate,,R,Over Votes,0014 14,0
U.S. Senate,,R,Over Votes,0015 15,0
U.S. Senate,,R,Over Votes,0016 16,1
U.S. Senate,,R,Over Votes,0017 17,0
U.S. Senate,,R,Over Votes,0018 18,0
U.S. Senate,,R,Over Votes,0019 19,0
U.S. Senate,,R,Over Votes,0020 20,0
U.S. Senate,,R,Over Votes,0021 21,0
U.S. Senate,,R,Over Votes,0022 22,0
U.S. Senate,,R,Over Votes,0023 23,0
U.S. Senate,,R,Under Votes,0001 01,2
U.S. Senate,,R,Under Votes,0002 02,3
U.S. Senate,,R,Under Votes,0003 03,3
U.S. Senate,,R,Under Votes,0004 04,1
U.S. Senate,,R,Under Votes,0005 05,0
U.S. Senate,,R,Under Votes,0006 06,10
U.S. Senate,,R,Under Votes,0007 07,16
U.S. Senate,,R,Under Votes,0008 08,13
U.S. Senate,,R,Under Votes,0009 09,14
U.S. Senate,,R,Under Votes,0010 10,9
U.S. Senate,,R,Under Votes,0011 11,18
U.S. Senate,,R,Under Votes,0012 12,0
U.S. Senate,,R,Under Votes,0013 13,1
U.S. Senate,,R,Under Votes,0014 14,4
U.S. Senate,,R,Under Votes,0015 15,16
U.S. Senate,,R,Under Votes,0016 16,10
U.S. Senate,,R,Under Votes,0017 17,10
U.S. Senate,,R,Under Votes,0018 18,6
U.S. Senate,,R,Under Votes,0019 19,4
U.S. Senate,,R,Under Votes,0020 20,11
U.S. Senate,,R,Under Votes,0021 21,0
U.S. Senate,,R,Under Votes,0022 22,1
U.S. Senate,,R,Under Votes,0023 23,0
U.S. House,4,R,Art Robinson,0001 01,146
U.S. House,4,R,Art Robinson,0002 02,45
U.S. House,4,R,Art Robinson,0003 03,144
U.S. House,4,R,Art Robinson,0004 04,55
U.S. House,4,R,Art Robinson,0005 05,36
U.S. House,4,R,Art Robinson,0006 06,142
U.S. House,4,R,Art Robinson,0007 07,195
U.S. House,4,R,Art Robinson,0008 08,286
U.S. House,4,R,Art Robinson,0009 09,227
U.S. House,4,R,Art Robinson,0010 10,205
U.S. House,4,R,Art Robinson,0013 13,18
U.S. House,4,R,Art Robinson,0014 14,61
U.S. House,4,R,Art Robinson,0015 15,252
U.S. House,4,R,Art Robinson,0016 16,256
U.S. House,4,R,Art Robinson,0017 17,139
U.S. House,4,R,Art Robinson,0019 19,134
U.S. House,4,R,Art Robinson,0020 20,174
U.S. House,4,R,Art Robinson,0021 21,32
U.S. House,4,R,Art Robinson,0023 23,38
U.S. House,4,R,Write-ins,0001 01,3
U.S. House,4,R,Write-ins,0002 02,1
U.S. House,4,R,Write-ins,0003 03,6
U.S. House,4,R,Write-ins,0004 04,3
U.S. House,4,R,Write-ins,0005 05,1
U.S. House,4,R,Write-ins,0006 06,6
U.S. House,4,R,Write-ins,0007 07,8
U.S. House,4,R,Write-ins,0008 08,11
U.S. House,4,R,Write-ins,0009 09,9
U.S. House,4,R,Write-ins,0010 10,13
U.S. House,4,R,Write-ins,0013 13,0
U.S. House,4,R,Write-ins,0014 14,1
U.S. House,4,R,Write-ins,0015 15,5
U.S. House,4,R,Write-ins,0016 16,6
U.S. House,4,R,Write-ins,0017 17,0
U.S. House,4,R,Write-ins,0019 19,3
U.S. House,4,R,Write-ins,0020 20,2
U.S. House,4,R,Write-ins,0021 21,2
U.S. House,4,R,Write-ins,0023 23,0
U.S. House,4,R,Over Votes,0001 01,0
U.S. House,4,R,Over Votes,0002 02,0
U.S. House,4,R,Over Votes,0003 03,0
U.S. House,4,R,Over Votes,0004 04,0
U.S. House,4,R,Over Votes,0005 05,0
U.S. House,4,R,Over Votes,0006 06,0
U.S. House,4,R,Over Votes,0007 07,0
U.S. House,4,R,Over Votes,0008 08,0
U.S. House,4,R,Over Votes,0009 09,0
U.S. House,4,R,Over Votes,0010 10,0
U.S. House,4,R,Over Votes,0013 13,0
U.S. House,4,R,Over Votes,0014 14,0
U.S. House,4,R,Over Votes,0015 15,0
U.S. House,4,R,Over Votes,0016 16,0
U.S. House,4,R,Over Votes,0017 17,0
U.S. House,4,R,Over Votes,0019 19,0
U.S. House,4,R,Over Votes,0020 20,0
U.S. House,4,R,Over Votes,0021 21,0
U.S. House,4,R,Over Votes,0023 23,0
U.S. House,4,R,Under Votes,0001 01,35
U.S. House,4,R,Under Votes,0002 02,12
U.S. House,4,R,Under Votes,0003 03,56
U.S. House,4,R,Under Votes,0004 04,16
U.S. House,4,R,Under Votes,0005 05,15
U.S. House,4,R,Under Votes,0006 06,50
U.S. House,4,R,Under Votes,0007 07,93
U.S. House,4,R,Under Votes,0008 08,117
U.S. House,4,R,Under Votes,0009 09,77
U.S. House,4,R,Under Votes,0010 10,60
U.S. House,4,R,Under Votes,0013 13,12
U.S. House,4,R,Under Votes,0014 14,8
U.S. House,4,R,Under Votes,0015 15,73
U.S. House,4,R,Under Votes,0016 16,96
U.S. House,4,R,Under Votes,0017 17,45
U.S. House,4,R,Under Votes,0019 19,33
U.S. House,4,R,Under Votes,0020 20,53
U.S. House,4,R,Under Votes,0021 21,8
U.S. House,4,R,Under Votes,0023 23,10
U.S. House,5,R,Ben Pollock,0011 11,266
U.S. House,5,R,Ben Pollock,0012 12,22
U.S. House,5,R,Ben Pollock,0018 18,87
U.S. House,5,R,Ben Pollock,0022 22,18
U.S. House,5,R,Tootie Smith,0011 11,374
U.S. House,5,R,Tootie Smith,0012 12,37
U.S. House,5,R,Tootie Smith,0018 18,126
U.S. House,5,R,Tootie Smith,0022 22,40
U.S. House,5,R,Write-ins,0011 11,2
U.S. House,5,R,Write-ins,0012 12,0
U.S. House,5,R,Write-ins,0018 18,2
U.S. House,5,R,Write-ins,0022 22,0
U.S. House,5,R,Over Votes,0011 11,0
U.S. House,5,R,Over Votes,0012 12,0
U.S. House,5,R,Over Votes,0018 18,0
U.S. House,5,R,Over Votes,0022 22,0
U.S. House,5,R,Under Votes,0011 11,133
U.S. House,5,R,Under Votes,0012 12,5
U.S. House,5,R,Under Votes,0018 18,54
U.S. House,5,R,Under Votes,0022 22,9
Governor,,R,Bruce A. Cuff,0001 01,12
Governor,,R,Bruce A. Cuff,0002 02,5
Governor,,R,Bruce A. Cuff,0003 03,22
Governor,,R,Bruce A. Cuff,0004 04,5
Governor,,R,Bruce A. Cuff,0005 05,2
Governor,,R,Bruce A. Cuff,0006 06,17
Governor,,R,Bruce A. Cuff,0007 07,14
Governor,,R,Bruce A. Cuff,0008 08,19
Governor,,R,Bruce A. Cuff,0009 09,38
Governor,,R,Bruce A. Cuff,0010 10,32
Governor,,R,Bruce A. Cuff,0011 11,40
Governor,,R,Bruce A. Cuff,0012 12,11
Governor,,R,Bruce A. Cuff,0013 13,3
Governor,,R,Bruce A. Cuff,0014 14,4
Governor,,R,Bruce A. Cuff,0015 15,25
Governor,,R,Bruce A. Cuff,0016 16,26
Governor,,R,Bruce A. Cuff,0017 17,9
Governor,,R,Bruce A. Cuff,0018 18,30
Governor,,R,Bruce A. Cuff,0019 19,11
Governor,,R,Bruce A. Cuff,0020 20,13
Governor,,R,Bruce A. Cuff,0021 21,0
Governor,,R,Bruce A. Cuff,0022 22,3
Governor,,R,Bruce A. Cuff,0023 23,2
Governor,,R,Gordon Challstrom,0001 01,20
Governor,,R,Gordon Challstrom,0002 02,4
Governor,,R,Gordon Challstrom,0003 03,10
Governor,,R,Gordon Challstrom,0004 04,4
Governor,,R,Gordon Challstrom,0005 05,9
Governor,,R,Gordon Challstrom,0006 06,14
Governor,,R,Gordon Challstrom,0007 07,21
Governor,,R,Gordon Challstrom,0008 08,30
Governor,,R,Gordon Challstrom,0009 09,26
Governor,,R,Gordon Challstrom,0010 10,16
Governor,,R,Gordon Challstrom,0011 11,75
Governor,,R,Gordon Challstrom,0012 12,4
Governor,,R,Gordon Challstrom,0013 13,1
Governor,,R,Gordon Challstrom,0014 14,5
Governor,,R,Gordon Challstrom,0015 15,40
Governor,,R,Gordon Challstrom,0016 16,19
Governor,,R,Gordon Challstrom,0017 17,11
Governor,,R,Gordon Challstrom,0018 18,23
Governor,,R,Gordon Challstrom,0019 19,19
Governor,,R,Gordon Challstrom,0020 20,32
Governor,,R,Gordon Challstrom,0021 21,6
Governor,,R,Gordon Challstrom,0022 22,12
Governor,,R,Gordon Challstrom,0023 23,2
Governor,,R,Tim Carr,0001 01,9
Governor,,R,Tim Carr,0002 02,6
Governor,,R,Tim Carr,0003 03,17
Governor,,R,Tim Carr,0004 04,8
Governor,,R,Tim Carr,0005 05,3
Governor,,R,Tim Carr,0006 06,16
Governor,,R,Tim Carr,0007 07,13
Governor,,R,Tim Carr,0008 08,27
Governor,,R,Tim Carr,0009 09,19
Governor,,R,Tim Carr,0010 10,12
Governor,,R,Tim Carr,0011 11,42
Governor,,R,Tim Carr,0012 12,2
Governor,,R,Tim Carr,0013 13,0
Governor,,R,Tim Carr,0014 14,4
Governor,,R,Tim Carr,0015 15,17
Governor,,R,Tim Carr,0016 16,11
Governor,,R,Tim Carr,0017 17,5
Governor,,R,Tim Carr,0018 18,6
Governor,,R,Tim Carr,0019 19,5
Governor,,R,Tim Carr,0020 20,11
Governor,,R,Tim Carr,0021 21,4
Governor,,R,Tim Carr,0022 22,7
Governor,,R,Tim Carr,0023 23,6
Governor,,R,Dennis Richardson,0001 01,120
Governor,,R,Dennis Richardson,0002 02,29
Governor,,R,Dennis Richardson,0003 03,130
Governor,,R,Dennis Richardson,0004 04,36
Governor,,R,Dennis Richardson,0005 05,28
Governor,,R,Dennis Richardson,0006 06,104
Governor,,R,Dennis Richardson,0007 07,174
Governor,,R,Dennis Richardson,0008 08,250
Governor,,R,Dennis Richardson,0009 09,165
Governor,,R,Dennis Richardson,0010 10,171
Governor,,R,Dennis Richardson,0011 11,492
Governor,,R,Dennis Richardson,0012 12,46
Governor,,R,Dennis Richardson,0013 13,19
Governor,,R,Dennis Richardson,0014 14,45
Governor,,R,Dennis Richardson,0015 15,198
Governor,,R,Dennis Richardson,0016 16,233
Governor,,R,Dennis Richardson,0017 17,131
Governor,,R,Dennis Richardson,0018 18,173
Governor,,R,Dennis Richardson,0019 19,113
Governor,,R,Dennis Richardson,0020 20,130
Governor,,R,Dennis Richardson,0021 21,25
Governor,,R,Dennis Richardson,0022 22,37
Governor,,R,Dennis Richardson,0023 23,30
Governor,,R,Mae Rafferty,0001 01,9
Governor,,R,Mae Rafferty,0002 02,5
Governor,,R,Mae Rafferty,0003 03,10
Governor,,R,Mae Rafferty,0004 04,9
Governor,,R,Mae Rafferty,0005 05,4
Governor,,R,Mae Rafferty,0006 06,12
Governor,,R,Mae Rafferty,0007 07,18
Governor,,R,Mae Rafferty,0008 08,15
Governor,,R,Mae Rafferty,0009 09,14
Governor,,R,Mae Rafferty,0010 10,20
Governor,,R,Mae Rafferty,0011 11,33
Governor,,R,Mae Rafferty,0012 12,0
Governor,,R,Mae Rafferty,0013 13,3
Governor,,R,Mae Rafferty,0014 14,2
Governor,,R,Mae Rafferty,0015 15,12
Governor,,R,Mae Rafferty,0016 16,13
Governor,,R,Mae Rafferty,0017 17,9
Governor,,R,Mae Rafferty,0018 18,6
Governor,,R,Mae Rafferty,0019 19,6
Governor,,R,Mae Rafferty,0020 20,18
Governor,,R,Mae Rafferty,0021 21,2
Governor,,R,Mae Rafferty,0022 22,4
Governor,,R,Mae Rafferty,0023 23,4
Governor,,R,Darren Karr,0001 01,4
Governor,,R,Darren Karr,0002 02,2
Governor,,R,Darren Karr,0003 03,1
Governor,,R,Darren Karr,0004 04,0
Governor,,R,Darren Karr,0005 05,0
Governor,,R,Darren Karr,0006 06,1
Governor,,R,Darren Karr,0007 07,1
Governor,,R,Darren Karr,0008 08,6
Governor,,R,Darren Karr,0009 09,5
Governor,,R,Darren Karr,0010 10,1
Governor,,R,Darren Karr,0011 11,12
Governor,,R,Darren Karr,0012 12,0
Governor,,R,Darren Karr,0013 13,0
Governor,,R,Darren Karr,0014 14,0
Governor,,R,Darren Karr,0015 15,3
Governor,,R,Darren Karr,0016 16,6
Governor,,R,Darren Karr,0017 17,1
Governor,,R,Darren Karr,0018 18,2
Governor,,R,Darren Karr,0019 19,0
Governor,,R,Darren Karr,0020 20,2
Governor,,R,Darren Karr,0021 21,0
Governor,,R,Darren Karr,0022 22,1
Governor,,R,Darren Karr,0023 23,0
Governor,,R,Write-ins,0001 01,0
Governor,,R,Write-ins,0002 02,0
Governor,,R,Write-ins,0003 03,3
Governor,,R,Write-ins,0004 04,1
Governor,,R,Write-ins,0005 05,1
Governor,,R,Write-ins,0006 06,1
Governor,,R,Write-ins,0007 07,3
Governor,,R,Write-ins,0008 08,5
Governor,,R,Write-ins,0009 09,3
Governor,,R,Write-ins,0010 10,6
Governor,,R,Write-ins,0011 11,0
Governor,,R,Write-ins,0012 12,0
Governor,,R,Write-ins,0013 13,1
Governor,,R,Write-ins,0014 14,0
Governor,,R,Write-ins,0015 15,2
Governor,,R,Write-ins,0016 16,1
Governor,,R,Write-ins,0017 17,0
Governor,,R,Write-ins,0018 18,0
Governor,,R,Write-ins,0019 19,2
Governor,,R,Write-ins,0020 20,1
Governor,,R,Write-ins,0021 21,0
Governor,,R,Write-ins,0022 22,0
Governor,,R,Write-ins,0023 23,0
Governor,,R,Over Votes,0001 01,0
Governor,,R,Over Votes,0002 02,0
Governor,,R,Over Votes,0003 03,0
Governor,,R,Over Votes,0004 04,0
Governor,,R,Over Votes,0005 05,0
Governor,,R,Over Votes,0006 06,0
Governor,,R,Over Votes,0007 07,0
Governor,,R,Over Votes,0008 08,0
Governor,,R,Over Votes,0009 09,1
Governor,,R,Over Votes,0010 10,1
Governor,,R,Over Votes,0011 11,0
Governor,,R,Over Votes,0012 12,0
Governor,,R,Over Votes,0013 13,0
Governor,,R,Over Votes,0014 14,0
Governor,,R,Over Votes,0015 15,0
Governor,,R,Over Votes,0016 16,0
Governor,,R,Over Votes,0017 17,0
Governor,,R,Over Votes,0018 18,0
Governor,,R,Over Votes,0019 19,0
Governor,,R,Over Votes,0020 20,0
Governor,,R,Over Votes,0021 21,0
Governor,,R,Over Votes,0022 22,0
Governor,,R,Over Votes,0023 23,0
Governor,,R,Under Votes,0001 01,10
Governor,,R,Under Votes,0002 02,7
Governor,,R,Under Votes,0003 03,13
Governor,,R,Under Votes,0004 04,11
Governor,,R,Under Votes,0005 05,5
Governor,,R,Under Votes,0006 06,33
Governor,,R,Under Votes,0007 07,52
Governor,,R,Under Votes,0008 08,62
Governor,,R,Under Votes,0009 09,42
Governor,,R,Under Votes,0010 10,19
Governor,,R,Under Votes,0011 11,81
Governor,,R,Under Votes,0012 12,1
Governor,,R,Under Votes,0013 13,3
Governor,,R,Under Votes,0014 14,10
Governor,,R,Under Votes,0015 15,33
Governor,,R,Under Votes,0016 16,49
Governor,,R,Under Votes,0017 17,18
Governor,,R,Under Votes,0018 18,29
Governor,,R,Under Votes,0019 19,14
Governor,,R,Under Votes,0020 20,22
Governor,,R,Under Votes,0021 21,5
Governor,,R,Under Votes,0022 22,3
Governor,,R,Under Votes,0023 23,4
State Senate,8,R,Betsy L. Close,0001 01,154
State Senate,8,R,Betsy L. Close,0002 02,48
State Senate,8,R,Betsy L. Close,0003 03,161
State Senate,8,R,Betsy L. Close,0004 04,51
State Senate,8,R,Betsy L. Close,0005 05,41
State Senate,8,R,Betsy L. Close,0006 06,164
State Senate,8,R,Betsy L. Close,0007 07,244
State Senate,8,R,Betsy L. Close,0008 08,342
State Senate,8,R,Betsy L. Close,0009 09,252
State Senate,8,R,Betsy L. Close,0010 10,234
State Senate,8,R,Betsy L. Close,0011 11,640
State Senate,8,R,Betsy L. Close,0016 16,293
State Senate,8,R,Betsy L. Close,0018 18,240
State Senate,8,R,Betsy L. Close,0021 21,32
State Senate,8,R,Betsy L. Close,0023 23,43
State Senate,8,R,Write-ins,0001 01,1
State Senate,8,R,Write-ins,0002 02,1
State Senate,8,R,Write-ins,0003 03,6
State Senate,8,R,Write-ins,0004 04,2
State Senate,8,R,Write-ins,0005 05,2
State Senate,8,R,Write-ins,0006 06,2
State Senate,8,R,Write-ins,0007 07,6
State Senate,8,R,Write-ins,0008 08,3
State Senate,8,R,Write-ins,0009 09,3
State Senate,8,R,Write-ins,0010 10,2
State Senate,8,R,Write-ins,0011 11,5
State Senate,8,R,Write-ins,0016 16,1
State Senate,8,R,Write-ins,0018 18,1
State Senate,8,R,Write-ins,0021 21,0
State Senate,8,R,Write-ins,0023 23,0
State Senate,8,R,Over Votes,0001 01,0
State Senate,8,R,Over Votes,0002 02,0
State Senate,8,R,Over Votes,0003 03,0
State Senate,8,R,Over Votes,0004 04,0
State Senate,8,R,Over Votes,0005 05,0
State Senate,8,R,Over Votes,0006 06,0
State Senate,8,R,Over Votes,0007 07,0
State Senate,8,R,Over Votes,0008 08,0
State Senate,8,R,Over Votes,0009 09,0
State Senate,8,R,Over Votes,0010 10,0
State Senate,8,R,Over Votes,0011 11,0
State Senate,8,R,Over Votes,0016 16,0
State Senate,8,R,Over Votes,0018 18,0
State Senate,8,R,Over Votes,0021 21,0
State Senate,8,R,Over Votes,0023 23,0
State Senate,8,R,Under Votes,0001 01,29
State Senate,8,R,Under Votes,0002 02,9
State Senate,8,R,Under Votes,0003 03,39
State Senate,8,R,Under Votes,0004 04,21
State Senate,8,R,Under Votes,0005 05,9
State Senate,8,R,Under Votes,0006 06,32
State Senate,8,R,Under Votes,0007 07,46
State Senate,8,R,Under Votes,0008 08,69
State Senate,8,R,Under Votes,0009 09,58
State Senate,8,R,Under Votes,0010 10,42
State Senate,8,R,Under Votes,0011 11,130
State Senate,8,R,Under Votes,0016 16,64
State Senate,8,R,Under Votes,0018 18,28
State Senate,8,R,Under Votes,0021 21,10
State Senate,8,R,Under Votes,0023 23,5
State House,15,R,Andy Olson,0011 11,650
State House,15,R,Andy Olson,0018 18,243
State House,15,R,Andy Olson,0023 23,41
State House,15,R,Write-ins,0011 11,1
State House,15,R,Write-ins,0018 18,0
State House,15,R,Write-ins,0023 23,0
State House,15,R,Over Votes,0011 11,0
State House,15,R,Over Votes,0018 18,0
State House,15,R,Over Votes,0023 23,0
State House,15,R,Under Votes,0011 11,124
State House,15,R,Under Votes,0018 18,26
State House,15,R,Under Votes,0023 23,7
State House,16,R,Jacob D. Vandever,0001 01,108
State House,16,R,Jacob D. Vandever,0002 02,39
State House,16,R,Jacob D. Vandever,0003 03,112
State House,16,R,Jacob D. Vandever,0004 04,38
State House,16,R,Jacob D. Vandever,0005 05,24
State House,16,R,Jacob D. Vandever,0006 06,127
State House,16,R,Jacob D. Vandever,0007 07,162
State House,16,R,Jacob D. Vandever,0008 08,259
State House,16,R,Jacob D. Vandever,0009 09,191
State House,16,R,Jacob D. Vandever,0010 10,171
State House,16,R,Jacob D. Vandever,0016 16,222
State House,16,R,Jacob D. Vandever,0021 21,24
State House,16,R,Write-ins,0001 01,1
State House,16,R,Write-ins,0002 02,0
State House,16,R,Write-ins,0003 03,2
State House,16,R,Write-ins,0004 04,1
State House,16,R,Write-ins,0005 05,1
State House,16,R,Write-ins,0006 06,2
State House,16,R,Write-ins,0007 07,2
State House,16,R,Write-ins,0008 08,5
State House,16,R,Write-ins,0009 09,2
State House,16,R,Write-ins,0010 10,1
State House,16,R,Write-ins,0016 16,1
State House,16,R,Write-ins,0021 21,0
State House,16,R,Over Votes,0001 01,0
State House,16,R,Over Votes,0002 02,0
State House,16,R,Over Votes,0003 03,0
State House,16,R,Over Votes,0004 04,0
State House,16,R,Over Votes,0005 05,0
State House,16,R,Over Votes,0006 06,0
State House,16,R,Over Votes,0007 07,0
State House,16,R,Over Votes,0008 08,0
State House,16,R,Over Votes,0009 09,0
State House,16,R,Over Votes,0010 10,0
State House,16,R,Over Votes,0016 16,0
State House,16,R,Over Votes,0021 21,0
State House,16,R,Under Votes,0001 01,75
State House,16,R,Under Votes,0002 02,19
State House,16,R,Under Votes,0003 03,92
State House,16,R,Under Votes,0004 04,35
State House,16,R,Under Votes,0005 05,27
State House,16,R,Under Votes,0006 06,69
State House,16,R,Under Votes,0007 07,132
State House,16,R,Under Votes,0008 08,150
State House,16,R,Under Votes,0009 09,120
State House,16,R,Under Votes,0010 10,106
State House,16,R,Under Votes,0016 16,135
State House,16,R,Under Votes,0021 21,18
State House,23,R,Mike Nearman,0012 12,51
State House,23,R,Mike Nearman,0013 13,18
State House,23,R,Mike Nearman,0014 14,56
State House,23,R,Mike Nearman,0015 15,186
State House,23,R,Mike Nearman,0017 17,104
State House,23,R,Mike Nearman,0019 19,101
State House,23,R,Mike Nearman,0020 20,121
State House,23,R,Mike Nearman,0022 22,40
State House,23,R,Jim Thompson,0012 12,12
State House,23,R,Jim Thompson,0013 13,7
State House,23,R,Jim Thompson,0014 14,7
State House,23,R,Jim Thompson,0015 15,118
State House,23,R,Jim Thompson,0017 17,63
State House,23,R,Jim Thompson,0019 19,59
State House,23,R,Jim Thompson,0020 20,85
State House,23,R,Jim Thompson,0022 22,26
State House,23,R,Write-ins,0012 12,0
State House,23,R,Write-ins,0013 13,0
State House,23,R,Write-ins,0014 14,0
State House,23,R,Write-ins,0015 15,2
State House,23,R,Write-ins,0017 17,0
State House,23,R,Write-ins,0019 19,1
State House,23,R,Write-ins,0020 20,2
State House,23,R,Write-ins,0022 22,0
State House,23,R,Over Votes,0012 12,0
State House,23,R,Over Votes,0013 13,0
State House,23,R,Over Votes,0014 14,0
State House,23,R,Over Votes,0015 15,0
State House,23,R,Over Votes,0017 17,0
State House,23,R,Over Votes,0019 19,0
State House,23,R,Over Votes,0020 20,0
State House,23,R,Over Votes,0022 22,0
State House,23,R,Under Votes,0012 12,1
State House,23,R,Under Votes,0013 13,5
State House,23,R,Under Votes,0014 14,7
State House,23,R,Under Votes,0015 15,24
State House,23,R,Under Votes,0017 17,17
State House,23,R,Under Votes,0019 19,9
State House,23,R,Under Votes,0020 20,21
State House,23,R,Under Votes,0022 22,1
