county,candidate,party,office,votes,incumbent
Marion,"Myers, Hardy",Democrat,Attorney General,21810,TRUE
Morrow,"Myers, Hardy",Democrat,Attorney General,518,TRUE
Multnomah,"Myers, Hardy",Democrat,Attorney General,66096,TRUE
Polk,"Myers, Hardy",Democrat,Attorney General,4084,TRUE
Sherman,"Myers, Hardy",Democrat,Attorney General,225,TRUE
Tillamook,"Myers, Hardy",Democrat,Attorney General,2966,TRUE
Umatilla,"Myers, Hardy",Democrat,Attorney General,3091,TRUE
Union,"Myers, Hardy",Democrat,Attorney General,2160,TRUE
Wallowa,"Myers, Hardy",Democrat,Attorney General,636,TRUE
Wasco,"Myers, Hardy",Democrat,Attorney General,2485,TRUE
Washington,"Myers, Hardy",Democrat,Attorney General,25180,TRUE
Wheeler,"Myers, Hardy",Democrat,Attorney General,169,TRUE
Yamhill,"Myers, Hardy",Democrat,Attorney General,6195,TRUE
Baker,Other,Democrat,Attorney General,17,FALSE
Benton,Other,Democrat,Attorney General,53,FALSE
Clackamas,Other,Democrat,Attorney General,23,FALSE
Clatsop,Other,Democrat,Attorney General,31,FALSE
Columbia,Other,Democrat,Attorney General,53,FALSE
Coos,Other,Democrat,Attorney General,150,FALSE
Crook,Other,Democrat,Attorney General,24,FALSE
Curry,Other,Democrat,Attorney General,48,FALSE
Deschutes,Other,Democrat,Attorney General,116,FALSE
Douglas,Other,Democrat,Attorney General,153,FALSE
Gilliam,Other,Democrat,Attorney General,7,FALSE
Grant,Other,Democrat,Attorney General,39,FALSE
Harney,Other,Democrat,Attorney General,21,FALSE
Hood River,Other,Democrat,Attorney General,4,FALSE
Jackson,Other,Democrat,Attorney General,178,FALSE
Jefferson,Other,Democrat,Attorney General,4,FALSE
Josephine,Other,Democrat,Attorney General,174,FALSE
Klamath,Other,Democrat,Attorney General,55,FALSE
Lake,Other,Democrat,Attorney General,0,FALSE
Lane,Other,Democrat,Attorney General,25,FALSE
Lincoln,Other,Democrat,Attorney General,46,FALSE
Linn,Other,Democrat,Attorney General,25,FALSE
Malheur,Other,Democrat,Attorney General,34,FALSE
Marion,Other,Democrat,Attorney General,349,FALSE
Morrow,Other,Democrat,Attorney General,5,FALSE
Multnomah,Other,Democrat,Attorney General,803,FALSE
Polk,Other,Democrat,Attorney General,4,FALSE
Sherman,Other,Democrat,Attorney General,4,FALSE
Tillamook,Other,Democrat,Attorney General,49,FALSE
Umatilla,Other,Democrat,Attorney General,0,FALSE
Union,Other,Democrat,Attorney General,37,FALSE
Wallowa,Other,Democrat,Attorney General,20,FALSE
Wasco,Other,Democrat,Attorney General,15,FALSE
Washington,Other,Democrat,Attorney General,18,FALSE
Wheeler,Other,Democrat,Attorney General,4,FALSE
Yamhill,Other,Democrat,Attorney General,81,FALSE
Baker,"Mannix, Kevin L.",Republican,Attorney General,1759,FALSE
Benton,"Mannix, Kevin L.",Republican,Attorney General,5562,FALSE
Clackamas,"Mannix, Kevin L.",Republican,Attorney General,21287,FALSE
Clatsop,"Mannix, Kevin L.",Republican,Attorney General,2610,FALSE
Columbia,"Mannix, Kevin L.",Republican,Attorney General,3022,FALSE
Coos,"Mannix, Kevin L.",Republican,Attorney General,5209,FALSE
Crook,"Mannix, Kevin L.",Republican,Attorney General,1678,FALSE
Curry,"Mannix, Kevin L.",Republican,Attorney General,2508,FALSE
Deschutes,"Mannix, Kevin L.",Republican,Attorney General,10606,FALSE
Douglas,"Mannix, Kevin L.",Republican,Attorney General,10310,FALSE
Gilliam,"Mannix, Kevin L.",Republican,Attorney General,225,FALSE
Grant,"Mannix, Kevin L.",Republican,Attorney General,954,FALSE
Harney,"Mannix, Kevin L.",Republican,Attorney General,1028,FALSE
Hood River,"Mannix, Kevin L.",Republican,Attorney General,1678,FALSE
Jackson,"Mannix, Kevin L.",Republican,Attorney General,16993,FALSE
Jefferson,"Mannix, Kevin L.",Republican,Attorney General,1533,FALSE
Josephine,"Mannix, Kevin L.",Republican,Attorney General,9281,FALSE
Klamath,"Mannix, Kevin L.",Republican,Attorney General,7045,FALSE
Lake,"Mannix, Kevin L.",Republican,Attorney General,976,FALSE
Lane,"Mannix, Kevin L.",Republican,Attorney General,20279,FALSE
Lincoln,"Mannix, Kevin L.",Republican,Attorney General,3277,FALSE
Linn,"Mannix, Kevin L.",Republican,Attorney General,7148,FALSE
Malheur,"Mannix, Kevin L.",Republican,Attorney General,2969,FALSE
Marion,"Mannix, Kevin L.",Republican,Attorney General,24249,FALSE
Morrow,"Mannix, Kevin L.",Republican,Attorney General,552,FALSE
Multnomah,"Mannix, Kevin L.",Republican,Attorney General,28558,FALSE
Polk,"Mannix, Kevin L.",Republican,Attorney General,5054,FALSE
Sherman,"Mannix, Kevin L.",Republican,Attorney General,234,FALSE
Tillamook,"Mannix, Kevin L.",Republican,Attorney General,2127,FALSE
Umatilla,"Mannix, Kevin L.",Republican,Attorney General,3773,FALSE
Union,"Mannix, Kevin L.",Republican,Attorney General,2503,FALSE
Wallowa,"Mannix, Kevin L.",Republican,Attorney General,858,FALSE
Wasco,"Mannix, Kevin L.",Republican,Attorney General,2098,FALSE
Washington,"Mannix, Kevin L.",Republican,Attorney General,26911,FALSE
Wheeler,"Mannix, Kevin L.",Republican,Attorney General,208,FALSE
Yamhill,"Mannix, Kevin L.",Republican,Attorney General,7012,FALSE
Baker,Other,Republican,Attorney General,15,FALSE
Benton,Other,Republican,Attorney General,71,FALSE
Clackamas,Other,Republican,Attorney General,28,FALSE
Clatsop,Other,Republican,Attorney General,43,FALSE
Columbia,Other,Republican,Attorney General,51,FALSE
Coos,Other,Republican,Attorney General,74,FALSE
Crook,Other,Republican,Attorney General,37,FALSE
Curry,Other,Republican,Attorney General,43,FALSE
Deschutes,Other,Republican,Attorney General,105,FALSE
Douglas,Other,Republican,Attorney General,115,FALSE
Gilliam,Other,Republican,Attorney General,0,FALSE
Grant,Other,Republican,Attorney General,17,FALSE
Harney,Other,Republican,Attorney General,26,FALSE
Hood River,Other,Republican,Attorney General,6,FALSE
Jackson,Other,Republican,Attorney General,216,FALSE
Jefferson,Other,Republican,Attorney General,9,FALSE
Josephine,Other,Republican,Attorney General,130,FALSE
Klamath,Other,Republican,Attorney General,46,FALSE
Lake,Other,Republican,Attorney General,0,FALSE
Lane,Other,Republican,Attorney General,35,FALSE
Lincoln,Other,Republican,Attorney General,36,FALSE
Linn,Other,Republican,Attorney General,12,FALSE
Malheur,Other,Republican,Attorney General,24,FALSE
Marion,Other,Republican,Attorney General,488,FALSE
Morrow,Other,Republican,Attorney General,1,FALSE
Multnomah,Other,Republican,Attorney General,666,FALSE
Polk,Other,Republican,Attorney General,11,FALSE
Sherman,Other,Republican,Attorney General,0,FALSE
Tillamook,Other,Republican,Attorney General,40,FALSE
Umatilla,Other,Republican,Attorney General,0,FALSE
Union,Other,Republican,Attorney General,26,FALSE
Wallowa,Other,Republican,Attorney General,10,FALSE
Wasco,Other,Republican,Attorney General,16,FALSE
Washington,Other,Republican,Attorney General,35,FALSE
Wheeler,Other,Republican,Attorney General,1,FALSE
Yamhill,Other,Republican,Attorney General,86,FALSE
